summary,levels,products,uid,type,title,modules,main_product,title_and_summary
"Explore the Azure management, administration, and reporting tools, and choose the ones that best meet your organization's needs.",['beginner'],"['azure', 'azure-portal', 'azure-clis', 'azure-resource-manager']",learn.azure.management-fundamentals,module,Choose the best tools for managing and configuring your Azure environment,,azure,"Choose the best tools for managing and configuring your Azure environment Explore the Azure management, administration, and reporting tools, and choose the ones that best meet your organization's needs."
"You'll be able to plan a migration and select appropriate server migration tools. You will also learn how to use Azure Migrate, how to assess physical servers, and how to migrate those servers.",['intermediate'],"['azure', 'azure-cloud-shell', 'azure-portal', 'azure-virtual-machines']",learn.wwl.migrate-premises-windows-server-instances-to-azure-iaas-vms,module,Migrate on-premises Windows Server instances to Azure IaaS virtual machines,,azure,"Migrate on-premises Windows Server instances to Azure IaaS virtual machines You'll be able to plan a migration and select appropriate server migration tools. You will also learn how to use Azure Migrate, how to assess physical servers, and how to migrate those servers."
Create a website in the programming language of your choice through the hosted web app platform in Azure App Service.,['beginner'],"['azure', 'azure-app-service', 'azure-portal']",learn.host-a-web-application-with-azure-web-apps,module,Host a web application with Azure App service,,azure,Host a web application with Azure App service Create a website in the programming language of your choice through the hosted web app platform in Azure App Service.
Migrate SAP workloads to Azure,['advanced'],['azure'],learn.wwl.migrate-sap-workloads-azure,module,Migrate SAP workloads to Azure,,azure,Migrate SAP workloads to Azure Migrate SAP workloads to Azure
Use Python and Visual Studio Code to make a simple program to count the number of each type of space rock.,['beginner'],['vs-code'],learn.student-evangelism.count-moon-rocks-python-nasa,module,Count the number of Moon rocks by type using Python,,vs,Count the number of Moon rocks by type using Python Use Python and Visual Studio Code to make a simple program to count the number of each type of space rock.
"Manage multiple Azure environment deployments of your Azure Resource Manager templates by using functions, variables, tags, and parameter files.",['beginner'],"['azure', 'vs-code', 'azure-resource-manager', 'azure-storage-accounts']",learn.azure.resource-manager-template-reuse,module,Deploy to multiple Azure environments by using ARM template features,,azure,"Deploy to multiple Azure environments by using ARM template features Manage multiple Azure environment deployments of your Azure Resource Manager templates by using functions, variables, tags, and parameter files."
Explore SQL automation for Azure SQL Database and Open Source databases. Configure elastic jobs and Azure Policy.,['intermediate'],"['azure', 'azure-sql-database', 'sql-server']",learn.wwl.manage-azure-paas-resources-using-automated-methods,module,Manage Azure PaaS resources using automated methods,,azure,Manage Azure PaaS resources using automated methods Explore SQL automation for Azure SQL Database and Open Source databases. Configure elastic jobs and Azure Policy.
Learn how to deploy Azure Sentinel and connect the services you want to monitor. Then you can use Azure and AI to provide analysis of security alerts.,['beginner'],"['azure', 'azure-sentinel']",learn.azure.azure-sentinel-deploy-connect,module,Deploy Azure Sentinel and connect data sources,,azure,Deploy Azure Sentinel and connect data sources Learn how to deploy Azure Sentinel and connect the services you want to monitor. Then you can use Azure and AI to provide analysis of security alerts.
"Learn how to measure the performance of your NoSQL Azure Cosmos DB database, by monitoring, partitioning, and indexing",['intermediate'],"['azure', 'azure-cosmos-db']",learn.monitor-azure-cosmos-db,module,Optimize the performance of Azure Cosmos DB by using partitioning and indexing strategies,,azure,"Optimize the performance of Azure Cosmos DB by using partitioning and indexing strategies Learn how to measure the performance of your NoSQL Azure Cosmos DB database, by monitoring, partitioning, and indexing"
Explore strategies that you can use on Azure to optimize your cloud-native application-development process by using Azure Kubernetes Service (AKS).,['beginner'],"['azure', 'azure-kubernetes-service', 'azure-policy']",learn.aks-optimize-compute-costs,module,Optimize compute costs on Azure Kubernetes Service (AKS),,azure,Optimize compute costs on Azure Kubernetes Service (AKS) Explore strategies that you can use on Azure to optimize your cloud-native application-development process by using Azure Kubernetes Service (AKS).
"Learn the incident response fundamentals necessary to help you sustainably achieve the appropriate level of reliability in your systems, services, and products.",['beginner'],['azure'],learn.improve-reliability-incidents,module,Improve your reliability with modern operations practices: Incident response,,azure,"Improve your reliability with modern operations practices: Incident response Learn the incident response fundamentals necessary to help you sustainably achieve the appropriate level of reliability in your systems, services, and products."
Explore data storage and processing in Azure,['beginner'],['azure'],learn.wwl.explore-data-storage-processing-azure,module,Explore data storage and processing in Azure,,azure,Explore data storage and processing in Azure Explore data storage and processing in Azure
Learn how to perform inclusive product design for users with diverse capabilities,['beginner'],"['azure', 'm365', 'dynamics-365']",learn.azure.inclusive-design-principles,module,Design with inclusivity in mind,,azure,Design with inclusivity in mind Learn how to perform inclusive product design for users with diverse capabilities
"Describe platform architecture, security, and data protection in Azure Databricks",['intermediate'],['azure-databricks'],learn.wwl.describe-platform-architecture-security-data-protection-azure-databricks,module,"Describe platform architecture, security, and data protection in Azure Databricks",,azure,"Describe platform architecture, security, and data protection in Azure Databricks Describe platform architecture, security, and data protection in Azure Databricks"
Putting it all together with Azure SQL,['beginner'],"['azure', 'azure-sql-database']",learn.azure-sql-case-studies,module,Putting it all together with Azure SQL,,azure,Putting it all together with Azure SQL Putting it all together with Azure SQL
Work with DataFrames columns in Azure Databricks,['intermediate'],['azure-databricks'],learn.wwl.work-dataframes-columns-azure-databricks,module,Work with DataFrames columns in Azure Databricks,,azure,Work with DataFrames columns in Azure Databricks Work with DataFrames columns in Azure Databricks
Learn more advanced topics of Python.,['beginner'],['vs-code'],learn.student-evangelism.intermediate-python-nasa,module,Code control statements in Python,,vs,Code control statements in Python Learn more advanced topics of Python.
"You'll learn about Azure Security Center and how to onboard Windows Server computers to Security Center. You'll also learn about Azure Sentinel, security information and event management (SIEM), and security orchestration, automation and response (SOAR).",['intermediate'],"['azure', 'azure-cloud-shell', 'azure-portal', 'azure-virtual-machines']",learn.wwl.audit-security-of-windows-server-iaas-vms,module,Audit the security of Windows Server IaaS Virtual Machines,,azure,"Audit the security of Windows Server IaaS Virtual Machines You'll learn about Azure Security Center and how to onboard Windows Server computers to Security Center. You'll also learn about Azure Sentinel, security information and event management (SIEM), and security orchestration, automation and response (SOAR)."
"Use Azure AD B2C as the full-featured identity system for your application, and ensure that users are required to sign in securely by using multi-factor authentication.",['beginner'],"['azure', 'azure-active-directory']",learn.enable-external-access-with-b2c,module,Enable secure access to apps for external users with Azure AD B2C,,azure,"Enable secure access to apps for external users with Azure AD B2C Use Azure AD B2C as the full-featured identity system for your application, and ensure that users are required to sign in securely by using multi-factor authentication."
"Implement CI/CD pipeline for Node.js applications. Automate deployment of Vue, React, Angular or webpack apps with Azure Pipelines.",['beginner'],"['azure', 'azure-devops']",learn.azdo.deploy-nodejs,module,Automate Node.js deployments with Azure Pipelines,,azure,"Automate Node.js deployments with Azure Pipelines Implement CI/CD pipeline for Node.js applications. Automate deployment of Vue, React, Angular or webpack apps with Azure Pipelines."
Learn about the normal curve,['beginner'],['azure'],learn.student-evangelism.understand-normal-curve,module,Understand the normal curve,,azure,Understand the normal curve Learn about the normal curve
Integrate Azure Databricks with other Azure services,['intermediate'],['azure-databricks'],learn.wwl.integrate-azure-databricks-other-azure-services,module,Integrate Azure Databricks with other Azure services,,azure,Integrate Azure Databricks with other Azure services Integrate Azure Databricks with other Azure services
"Get familiar with Azure Sentinel, a cloud-native, security information and event management (SIEM) service.",['beginner'],"['azure', 'azure-sentinel']",learn.intro-to-azure-sentinel,module,Introduction to Azure Sentinel,,azure,"Introduction to Azure Sentinel Get familiar with Azure Sentinel, a cloud-native, security information and event management (SIEM) service."
Perform speech translation tasks with the speech service to translate spoken text to different languages.,['intermediate'],['azure-cognitive-services'],learn.wwl.translate-speech-speech-service,module,Translate speech with the speech service,,azure,Translate speech with the speech service Perform speech translation tasks with the speech service to translate spoken text to different languages.
"Learn how to use the cost optimization pillar of the Microsoft Azure Well-Architected Framework to design a cloud-based architecture that is efficient, eliminates waste, and gives you full visibility into where your money is spent on cloud resources.",['intermediate'],"['azure', 'azure-cost-management', 'azure-advisor', 'azure-monitor']",learn.azure-well-architected-cost-optimization,module,Microsoft Azure Well-Architected Framework - Cost optimization,,azure,"Microsoft Azure Well-Architected Framework - Cost optimization Learn how to use the cost optimization pillar of the Microsoft Azure Well-Architected Framework to design a cloud-based architecture that is efficient, eliminates waste, and gives you full visibility into where your money is spent on cloud resources."
Learn how Grover's algorithm can help you solve search problems such as graph coloring problems.,['intermediate'],"['qdk', 'azure-quantum']",learn.quantum.solve-graph-coloring-problems-grovers-search,module,Solve graph coloring problems by using Grover's search,,qdk,Solve graph coloring problems by using Grover's search Learn how Grover's algorithm can help you solve search problems such as graph coloring problems.
"Learn how to create apps in the most popular Windows development frameworks - UWP, WPF, and Windows Forms.",['beginner'],['windows'],learn-windows.writing-windows-10-apps,module,Write your first Windows 10 application,,windows,"Write your first Windows 10 application Learn how to create apps in the most popular Windows development frameworks - UWP, WPF, and Windows Forms."
This module shows how you can track global air quality using the Azure Maps Web SDK and pollution data from a third-party air quality API.,['beginner'],"['azure-maps', 'azure', 'azure-iot']",learn.advocates.use-azure-maps-to-track-air-pollution,module,Track global air quality with Azure Maps,,azure,Track global air quality with Azure Maps This module shows how you can track global air quality using the Azure Maps Web SDK and pollution data from a third-party air quality API.
"Stop hackers from getting into your Windows and Linux servers. In this module, you’ll discover how to protect VMs and servers with Azure Security Center",['intermediate'],['azure'],learn.azure-security.secure-vms-with-security-center,module,Protect your servers and VMs from brute-force and malware attacks with Azure Security Center,,azure,"Protect your servers and VMs from brute-force and malware attacks with Azure Security Center Stop hackers from getting into your Windows and Linux servers. In this module, you’ll discover how to protect VMs and servers with Azure Security Center"
Learn how to run and troubleshoot containerized apps using Docker containers with Azure Container Instances.,['intermediate'],"['azure', 'azure-container-instances', 'azure-cosmos-db']",learn.run-docker-containers-aci,module,Run Docker containers with Azure Container Instances,,azure,Run Docker containers with Azure Container Instances Learn how to run and troubleshoot containerized apps using Docker containers with Azure Container Instances.
"Learn how to identify Azure resources you can move, and how to move them to a new resource group.",['beginner'],"['azure', 'azure-resource-manager']",learn.azure.move-azure-resources-to-another-resource-group,module,Move Azure resources to another resource group,,azure,"Move Azure resources to another resource group Learn how to identify Azure resources you can move, and how to move them to a new resource group."
"Learn about SRE, an engineering discipline that helps you sustainably achieve the appropriate level of reliability in your systems, services, and products.",['beginner'],['azure'],learn.intro-to-site-reliability-engineering,module,Introduction to Site Reliability Engineering (SRE),,azure,"Introduction to Site Reliability Engineering (SRE) Learn about SRE, an engineering discipline that helps you sustainably achieve the appropriate level of reliability in your systems, services, and products."
"Build a web app powered by machine learning models trained using Custom Vision AI service, and learn how to refresh them with GitHub Actions.",['intermediate'],"['azure', 'azure-cognitive-services', 'azure-web-apps']",learn.create-web-app-with-refreshable-models,module,Build a Web App with Refreshable Machine Learning Models,,azure,"Build a Web App with Refreshable Machine Learning Models Build a web app powered by machine learning models trained using Custom Vision AI service, and learn how to refresh them with GitHub Actions."
Learn how to add custom domain name to Azure Active Directory.,['beginner'],"['azure', 'azure-active-directory']",learn.azure.add-custom-domain-name-azure-active-directory,module,Add custom domain name to Azure Active Directory,,azure,Add custom domain name to Azure Active Directory Learn how to add custom domain name to Azure Active Directory.
"Find out about creating an application with Azure Cosmos DB as a graph database, then retrieve, manipulate, and visualize graph data using Data Explorer.",['beginner'],"['azure', 'azure-cosmos-db']",learn.azure.store-access-data-cosmos-graph-api,module,Store and access graph data in Azure Cosmos DB with the Graph API,,azure,"Store and access graph data in Azure Cosmos DB with the Graph API Find out about creating an application with Azure Cosmos DB as a graph database, then retrieve, manipulate, and visualize graph data using Data Explorer."
Migrate MongoDB workloads to Cosmos DB,['intermediate'],['azure-cosmos-db'],learn.wwl.migrate-premises-mongodb-databases-azure-database-mongodb,module,Migrate on-premises MongoDB databases to Cosmos DB,,azure,Migrate on-premises MongoDB databases to Cosmos DB Migrate MongoDB workloads to Cosmos DB
This module guides you through implementing logging and monitoring in an ASP.NET Core microservices app in Azure Kubernetes Service.,['intermediate'],"['dotnet', 'aspnet-core', 'dotnet-core', 'azure', 'azure-application-insights', 'azure-container-registry', 'azure-kubernetes-service', 'azure-monitor']",learn.microservices-logging-aspnet-core,module,Instrument a cloud-native ASP.NET Core microservice,,dotnet,Instrument a cloud-native ASP.NET Core microservice This module guides you through implementing logging and monitoring in an ASP.NET Core microservices app in Azure Kubernetes Service.
Carnegie Mellon University's Cloud Developer course. Take a deep dive into datacenters to discover how they are laid out and how computing resources are provisioned and metered.,['beginner'],['azure'],learn.cmu-cloud-computing.cloud-basics.cmu-data-center-design,module,Datacenter components,,azure,Datacenter components Carnegie Mellon University's Cloud Developer course. Take a deep dive into datacenters to discover how they are laid out and how computing resources are provisioned and metered.
Use Git to track changes to source code and collaborate with other developers,['beginner'],"['azure', 'github']",learn.student-evangelism.collaborate-with-git,module,Collaborate with Git,,azure,Collaborate with Git Use Git to track changes to source code and collaborate with other developers
"Learn how to create Azure Stream Analytics jobs to process input data, transform it with a query, and return results",['beginner'],"['azure', 'azure-stream-analytics']",learn.data-ai.transform-data-with-azure-stream-analytics,module,Transform data by using Azure Stream Analytics,,azure,"Transform data by using Azure Stream Analytics Learn how to create Azure Stream Analytics jobs to process input data, transform it with a query, and return results"
"This module provides an overview of Azure AI and demonstrates how Microsoft tools, services, and infrastructure can help make AI real for your organization, whether you want to unlock insights from your latent data with knowledge mining, develop your own AI models with machine learning, or build immersive apps using AI.",['beginner'],['azure'],learn-wwl.azure-ai-strategy,module,Microsoft Azure Artificial Intelligence (AI) strategy and solutions,,azure,"Microsoft Azure Artificial Intelligence (AI) strategy and solutions This module provides an overview of Azure AI and demonstrates how Microsoft tools, services, and infrastructure can help make AI real for your organization, whether you want to unlock insights from your latent data with knowledge mining, develop your own AI models with machine learning, or build immersive apps using AI."
Carnegie Mellon University's cloud developer course. The increase of available data has led to the rise of continuous streams of real-time data to process. Learn about different systems and techniques for consuming and processing real-time data streams.,['beginner'],['azure'],learn.cmu-cloud-computing.distributed-programming.message-queues-stream-processing,module,Message queues and stream processing,,azure,Message queues and stream processing Carnegie Mellon University's cloud developer course. The increase of available data has led to the rise of continuous streams of real-time data to process. Learn about different systems and techniques for consuming and processing real-time data streams.
Learn how to create an Azure IoT Central application to control Internet of Things devices that communicate through unique connection strings.,['beginner'],"['azure', 'azure-iot-central']",learn.monitor-manage-device-with-iotcentral,module,Monitor and manage your coffee machine with Azure IoT Central,,azure,Monitor and manage your coffee machine with Azure IoT Central Learn how to create an Azure IoT Central application to control Internet of Things devices that communicate through unique connection strings.
"Learn how to evaluate Logic Apps as an automation choice for your organization using criteria for integration, performance, conditionals, and connectors.",['beginner'],"['azure', 'azure-logic-apps']",learn.azure-intro-to-logic-apps,module,Introduction to Azure Logic Apps,,azure,"Introduction to Azure Logic Apps Learn how to evaluate Logic Apps as an automation choice for your organization using criteria for integration, performance, conditionals, and connectors."
"Learn about the relation between UI and data in Windows 10 apps, and implement data binding in your applications.",['beginner'],['windows'],learn-windows.windows-10-ui-and-data,module,Implement data binding in your Windows 10 application,,windows,"Implement data binding in your Windows 10 application Learn about the relation between UI and data in Windows 10 apps, and implement data binding in your applications."
Discover Azure portal and Azure DevOps tools that help you quickly and efficiently define and scale up load tests for apps.,['beginner'],"['azure', 'dotnet', 'aspnet-core', 'dotnet-core']",learn.load-test-web-app-azure-devops,module,Load test Azure web apps by using Azure DevOps,,azure,Load test Azure web apps by using Azure DevOps Discover Azure portal and Azure DevOps tools that help you quickly and efficiently define and scale up load tests for apps.
Explore data ingestion in Azure,['beginner'],['azure'],learn.wwl.explore-data-ingestion-azure,module,Explore data ingestion in Azure,,azure,Explore data ingestion in Azure Explore data ingestion in Azure
"Find out how to start using Azure by creating an account where you’ll see services and personal settings for identity, billing, and preferences.",['beginner'],"['azure', 'azure-portal']",learn.create-azure-account,module,Create an Azure account,,azure,"Create an Azure account Find out how to start using Azure by creating an account where you’ll see services and personal settings for identity, billing, and preferences."
"Create a simple application and add configuration, client library references, and C# or JavaScript code to connect it to Azure Storage.",['beginner'],"['azure', 'azure-storage', 'azure-cloud-shell']",learn.connect-app-to-azure-storage,module,Connect an app to Azure Storage,,azure,"Connect an app to Azure Storage Create a simple application and add configuration, client library references, and C# or JavaScript code to connect it to Azure Storage."
"Find out how to develop an Azure Function in Visual Studio with a test framework to create, deploy, and test this scalable and secure service.",['beginner'],"['azure', 'azure-functions']",learn-pr.develop-test-deploy-azure-functions-core-tools,module,"Develop, test, and publish Azure Functions by using Azure Functions Core Tools",,azure,"Develop, test, and publish Azure Functions by using Azure Functions Core Tools Find out how to develop an Azure Function in Visual Studio with a test framework to create, deploy, and test this scalable and secure service."
"Azure provides a scalable, compliant, and enterprise-proven platform for a range of SAP workloads. In this module, you explore the platform compliance criteria that is stipulated by SAP before deploying SAP solutions in Azure, and look at the different options for deploying SAP in Azure.",['advanced'],['azure'],learn.wwl.deploy-sap-certified-offerings,module,Deploy SAP certified offerings on Azure,,azure,"Deploy SAP certified offerings on Azure Azure provides a scalable, compliant, and enterprise-proven platform for a range of SAP workloads. In this module, you explore the platform compliance criteria that is stipulated by SAP before deploying SAP solutions in Azure, and look at the different options for deploying SAP in Azure."
Perform code-free transformation at scale with Azure Data Factory,['beginner'],['azure-data-factory'],learn.wwl.perform-code-free-transformation-scale-azure-data-factory,module,Perform code-free transformation at scale with Azure Data Factory,,azure,Perform code-free transformation at scale with Azure Data Factory Perform code-free transformation at scale with Azure Data Factory
&quot;Migrate on-premises MySQL to Azure Database for MySQL&quot;,['intermediate'],['azure'],learn.wwl.migrate-premises-mysql-databases-azure-database-mysql,module,Migrate on-premises MySQL databases to Azure Database for MySQL,,azure,Migrate on-premises MySQL databases to Azure Database for MySQL &quot;Migrate on-premises MySQL to Azure Database for MySQL&quot;
"Learn how to deploy Azure Resource Manager (ARM) templates by using Azure PowerShell, the Azure CLI, and from GitHub Actions.",['intermediate'],"['azure', 'vs-code']",learn.azure.deploy-templates-command-line-github-actions,module,Automate the deployment of ARM templates by using GitHub Actions,,azure,"Automate the deployment of ARM templates by using GitHub Actions Learn how to deploy Azure Resource Manager (ARM) templates by using Azure PowerShell, the Azure CLI, and from GitHub Actions."
Implement CI/CD with Azure DevOps,['intermediate'],['azure-databricks'],learn.wwl.implement-ci-cd-azure-devops,module,Implement CI/CD with Azure DevOps,,azure,Implement CI/CD with Azure DevOps Implement CI/CD with Azure DevOps
Learn along with the Space Game web team the benefits of collaboration through Visual Studio Code and GitHub.,['beginner'],['azure-devops'],learn.azdo.implement-code-workflow,module,Implement a code workflow in your build pipeline by using Git and GitHub,,azure,Implement a code workflow in your build pipeline by using Git and GitHub Learn along with the Space Game web team the benefits of collaboration through Visual Studio Code and GitHub.
Securely authenticate apps to Azure to manage and access Azure services. Service principals and managed identities give your app an Azure AD identity.,['intermediate'],['azure'],learn.authenticate-apps-with-managed-identities,module,Authenticate apps to Azure services by using service principals and managed identities for Azure resources,,azure,Authenticate apps to Azure services by using service principals and managed identities for Azure resources Securely authenticate apps to Azure to manage and access Azure services. Service principals and managed identities give your app an Azure AD identity.
This module shows how to create accessible and inclusive content for mobile apps and the web.,['beginner'],['m365'],learn.digital-accessibility,module,Digital accessibility,,m365,Digital accessibility This module shows how to create accessible and inclusive content for mobile apps and the web.
Learn how to register and deploy ML models as real-rim services with the Azure Machine Learning service.,['beginner'],"['azure', 'azure-machine-learning']",learn.data-ai.register-and-deploy-model-with-amls,module,Deploy real-time machine learning services with Azure Machine Learning,,azure,Deploy real-time machine learning services with Azure Machine Learning Learn how to register and deploy ML models as real-rim services with the Azure Machine Learning service.
"In this module, you'll learn how to create and publish webapps to Azure App Service from Visual Studio Code.",['beginner'],"['azure', 'azure-app-service', 'vs-code']",learn.azure.publish-express-node-app-service-vscode,module,Create and publish a web application with Azure App Service and Visual Studio Code,,azure,"Create and publish a web application with Azure App Service and Visual Studio Code In this module, you'll learn how to create and publish webapps to Azure App Service from Visual Studio Code."
Migrate SQL Workloads to Azure Managed Instances,['intermediate'],"['azure-sql-database', 'sql-server']",learn-wwl.migrate-sql-workloads-azure-managed-instances,module,Migrate SQL Workloads to Azure Managed Instances,,azure,Migrate SQL Workloads to Azure Managed Instances Migrate SQL Workloads to Azure Managed Instances
"Create a language translator application for your Mixed Reality device (Windows Mixed Reality, HoloLens 2, etc.) by using Cognitive Services.",['beginner'],"['azure', 'azure-speech', 'azure-speech-translation', 'azure-cognitive-services']",learn.azure.create-language-translator-mixed-reality-application-unity-azure-cognitive-services,module,Create a language translator application with Unity and Azure Cognitive Services,,azure,"Create a language translator application with Unity and Azure Cognitive Services Create a language translator application for your Mixed Reality device (Windows Mixed Reality, HoloLens 2, etc.) by using Cognitive Services."
"You'll be able to use the Pricing calculator to assess likely costs, use Azure Advisor to monitor actual costs for Azure resources, implement Spot VMs and Azure Reservations, and describe benefits of Azure Hybrid licensing.",['intermediate'],"['azure', 'azure-cloud-shell', 'azure-portal', 'azure-virtual-machines']",learn.wwl.understand-windows-server-iaas-vm-cost-management,module,Understand Windows Server IaaS Virtual Machine cost management,,azure,"Understand Windows Server IaaS Virtual Machine cost management You'll be able to use the Pricing calculator to assess likely costs, use Azure Advisor to monitor actual costs for Azure resources, implement Spot VMs and Azure Reservations, and describe benefits of Azure Hybrid licensing."
Cloud Admin course from Dr. Majd Sakr at Carnegie Mellon University. Learn about digital identities and how they can be managed and synchronized within an organization.,['beginner'],['azure'],learn.cmu-cloud-admin.secure-cloud-resources,module,Secure your cloud resources with access control,,azure,Secure your cloud resources with access control Cloud Admin course from Dr. Majd Sakr at Carnegie Mellon University. Learn about digital identities and how they can be managed and synchronized within an organization.
"Learn about Python expressions, functions, basic data types(numbers, strings), and comparisons",['beginner'],['azure'],learn.student-evangelism.introduction-python-using-datascience-library,module,Introduction to Python using the datascience library,,azure,"Introduction to Python using the datascience library Learn about Python expressions, functions, basic data types(numbers, strings), and comparisons"
"Keep tabs on security events in your Azure AD resources by using built-in reporting and monitoring capabilities. Respond to events as they happen, and address security risks before they become a problem.",['intermediate'],"['azure', 'azure-active-directory', 'azure-monitor']",learn.monitor-report-aad-security-events,module,Monitor and report on security events in Azure AD,,azure,"Monitor and report on security events in Azure AD Keep tabs on security events in your Azure AD resources by using built-in reporting and monitoring capabilities. Respond to events as they happen, and address security risks before they become a problem."
Learn how continuous monitoring and dashboards give you insight into how customers use your software and where patterns of failure occur.,['intermediate'],['azure-devops'],learn.azdo.route-system-feedback,module,Route system feedback to development teams,,azure,Route system feedback to development teams Learn how continuous monitoring and dashboards give you insight into how customers use your software and where patterns of failure occur.
"A quick introduction to Python, programming languages, compilation, and the process of programming.",['beginner'],['vs'],learn.languages.python-introduction,module,What is Python?,,vs,"What is Python? A quick introduction to Python, programming languages, compilation, and the process of programming."
"You'll be able to deploy Desired State Configuration (DSC) extensions, implement those extensions to remediate noncompliant servers, and use custom script extension.",['intermediate'],"['azure', 'azure-clis', 'azure-cloud-shell', 'azure-portal', 'azure-virtual-machines']",learn.wwl.automate-configuration-of-windows-server-iaas-vms,module,Automate the configuration of Windows Server IaaS Virtual Machines,,azure,"Automate the configuration of Windows Server IaaS Virtual Machines You'll be able to deploy Desired State Configuration (DSC) extensions, implement those extensions to remediate noncompliant servers, and use custom script extension."
"By using the Azure Cosmos DB Table API, you will benefit from the low latency, high availability, and scalability of Azure Cosmos DB in a Table storage application.",['beginner'],"['azure', 'azure-storage', 'azure-cosmos-db']",learn.azure.store-access-data-cosmos-table-api,module,Store and Access NoSQL Data with Azure Cosmos DB and the Table API,,azure,"Store and Access NoSQL Data with Azure Cosmos DB and the Table API By using the Azure Cosmos DB Table API, you will benefit from the low latency, high availability, and scalability of Azure Cosmos DB in a Table storage application."
Learn how to create an Azure Key Vault to store secret values and how to enable secure access to the vault.,['beginner'],"['azure', 'azure-key-vault', 'azure-app-service']",learn.manage-secrets-with-azure-key-vault,module,Manage secrets in your server apps with Azure Key Vault,,azure,Manage secrets in your server apps with Azure Key Vault Learn how to create an Azure Key Vault to store secret values and how to enable secure access to the vault.
University of Oxford,['intermediate'],['azure-iot-hub'],learn.oxford.deploy-prebuilt-module-edge-device,module,Deploy a pre-built module to the Edge device,,azure,Deploy a pre-built module to the Edge device University of Oxford
Grant access to data stored in your Azure Storage accounts securely through the use of shared access signatures.,['intermediate'],['azure'],learn.control-access-to-azure-storage-with-sas,module,Control access to Azure Storage with shared access signatures,,azure,Control access to Azure Storage with shared access signatures Grant access to data stored in your Azure Storage accounts securely through the use of shared access signatures.
